id;name;place;start_date;end_date;points;status
1;mobile Fish;Home Loan Account Table Computer;2019-08-22T12:26:41;2019-08-22T02:49:01;86617;Savings Account alarm
2;Tasty Metal Bacon;red Chips Soap;2019-08-22T06:32:13;2019-08-21T23:09:33;52475;web-readiness
3;Namibia;Steel zero administration;2019-08-22T05:02:46;2019-08-22T08:15:08;45606;bluetooth
4;syndicate;Mississippi Refined Rubber Chicken Table;2019-08-22T12:16:39;2019-08-22T13:31:13;94888;Planner cross-platform access
5;Public-key;infomediaries;2019-08-22T10:54:35;2019-08-21T23:11:56;49517;Games Regional Digitized
6;copy convergence;Mayotte;2019-08-22T09:24:08;2019-08-22T13:05:14;96958;connect Markets Chief
7;capacitor archive;sky blue Tasty Plastic Pizza;2019-08-22T04:30:38;2019-08-21T19:54:12;27134;generating compelling
8;Home Loan Account;Plastic;2019-08-21T18:35:10;2019-08-22T09:52:20;7455;Administrator
9;reinvent 24 hour Jewelery;monitor;2019-08-21T20:20:34;2019-08-21T18:52:29;77127;Unbranded Plastic Tuna Frozen
10;generating Highway Ergonomic;moratorium moratorium;2019-08-21T20:19:42;2019-08-21T23:38:52;63755;COM
