id;name;start_date;end_date
1;monitor 1080p Checking Account;2019-08-20T06:18:38;2019-08-20T19:56:18
2;Frozen IB;2019-08-20T13:34:57;2019-08-20T17:45:17
3;Ergonomic;2019-08-20T19:38:31;2019-08-20T21:04:41
4;moratorium pixel withdrawal;2019-08-20T07:14:55;2019-08-20T15:04:18
5;embrace Developer;2019-08-20T08:10:04;2019-08-20T10:16:58
6;Idaho compress Avon;2019-08-20T15:59:46;2019-08-20T11:29:09
7;Small partnerships;2019-08-20T23:42:01;2019-08-21T03:47:14
8;withdrawal knowledge base Buckinghamshire;2019-08-20T06:45:36;2019-08-21T01:11:51
9;Investment Account;2019-08-20T15:35:07;2019-08-20T10:24:30
10;User-centric;2019-08-21T02:41:38;2019-08-20T14:10:08
